SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 10-05-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2011. Daily dataset for climate extremes
analyses in Southeast Asia.
In preparation
Data and metadata available at http://saca-bmkg.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INDONESIA, 	STASIUN METEOROLOGI MARITIM TANJUNG PRIOK	 (STAID: 101).
Blended and updated with sources: 100001 100101 101985 101987 996741 996745 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100101,18670305,   26,    0
100101,18670306,    0,    0
100101,18670307,   14,    0
100101,18670308,    0,    0
100101,18670309,    0,    0
100101,18670310,    0,    0
100101,18670311,    0,    0
100101,18670312,  129,    0
100101,18670313,    0,    0
100101,18670314,    0,    0
100101,18670315,    0,    0
100101,18670316,    0,    0
100101,18670317,    0,    0
100101,18670318,    0,    0
100101,18670319,    0,    0
100101,18670320,  218,    0
100101,18670321,  127,    0
100101,18670322,    0,    0
100101,18670323,    0,    0
100101,18670324,    0,    0
100101,18670325,    0,    0
100101,18670326,    0,    0
100101,18670327,    0,    0
100101,18670328,    0,    0
100101,18670329,   52,    0
100101,18670330,    0,    0
100101,18670331,    0,    0
100101,18670401,    0,    0
100101,18670402,    0,    0
100101,18670403,    3,    0
100101,18670404,    0,    0
100101,18670405,   76,    0
100101,18670406,   23,    0
100101,18670407,    0,    0
100101,18670408,    0,    0
100101,18670409,    0,    0
100101,18670410,    7,    0
100101,18670411,   24,    0
100101,18670412,   50,    0
100101,18670413,   44,    0
100101,18670414,    0,    0
100101,18670415,  155,    0
100101,18670416,    5,    0
100101,18670417,    0,    0
100101,18670418,   32,    0
100101,18670419,    0,    0
100101,18670420,    0,    0
100101,18670421,    0,    0
100101,18670422,   46,    0
100101,18670423,    0,    0
100101,18670424,    0,    0
100101,18670425,    0,    0
100101,18670426,    0,    0
100101,18670427,    0,    0
100101,18670428,    0,    0
100101,18670429,    7,    0
100101,18670430,    0,    0
100101,18670501,    0,    0
100101,18670502,    0,    0
100101,18670503,    0,    0
100101,18670504,    0,    0
100101,18670505,    0,    0
100101,18670506,    0,    0
100101,18670507,    0,    0
100101,18670508,    0,    0
